t_ms,e1,e2,e3,e4,e5,e6,e7
2.5,-0.006265825019798823,-0.015978824781472865,-0.013284764315846865,-0.005475108487095441,0.001575271374196905,-0.005475108487095441,-0.013284764315846865
2.5250000000000004,-0.0010298648932943219,-0.009648869315248339,-0.007926707044770732,-0.001015124559989615,0.005844636875729234,-0.001015124559989615,-0.007926707044770732
2.5500000000000003,0.003531069256539926,-0.004085467158347611,-0.003233656293858538,0.0028557305670696754,0.009514713258865397,0.0028557305670696754,-0.003233656293858538
2.575,0.007261589432331602,0.0005396201435889879,0.0006289462933590705,0.005987372734060999,0.012443675462895216,0.005987372734061006,0.0006289462933590635
2.6,0.010104000658834298,0.0041655667761370035,0.0035993646375624797,0.00832148410927608,0.014576309428765618,0.00832148410927608,0.0035993646375624797
2.625,0.012137200017619271,0.006885549109490796,0.005760376964150483,0.009928483100255408,0.01597932589784088,0.009928483100255408,0.005760376964150476
2.6500000000000004,0.013534214093881489,0.008898114088660211,0.007294150220177724,0.010967932255000689,0.016803980250536744,0.010967932255000689,0.007294150220177717
2.6750000000000003,0.014473035572099254,0.010406390708672462,0.008387970878706665,0.011604798295149004,0.017206640053521443,0.011604798295149004,0.008387970878706665
2.7,0.015077126017301781,0.011551241454455628,0.009171502275196388,0.011953415931458917,0.017295516672285263,0.011953415931458917,0.009171502275196388
2.725,0.015412752833298658,0.012408645380097982,0.009714137685617318,0.012074859082671583,0.017128060886658948,0.01207485908267159,0.009714137685617304
2.75,0.015512545958197928,0.013016537866754413,0.01005001018256006,0.011999023589478418,0.016731852763999393,0.011999023589478418,0.010050010182560054
2.7750000000000004,0.015394675116669303,0.013396568325358989,0.01019832103268854,0.011742647850518914,0.01612167975634533,0.011742647850518914,0.01019832103268854
2.8000000000000003,0.015071522251803752,0.013563928887684675,0.01017253888591789,0.011317482816197322,0.01530729159951676,0.011317482816197322,0.01017253888591789
2.825,0.014552557999042069,0.013530612532019,0.009983461683674295,0.010733019912051,0.01429600595277182,0.010733019912051004,0.009983461683674288
2.85,0.013845186139658568,0.013306362391920522,0.0096401218121261,0.009997309064489552,0.013093516975916635,0.009997309064489552,0.009640121812126094
2.875,0.012954984329351665,0.012898921188163801,0.009150039607529165,0.009117209358438048,0.011704186881978045,0.009117209358438055,0.009150039607529158
2.9000000000000004,0.011885783768657697,0.012314069778831937,0.008519285383518493,0.008098490910202536,0.010131226663520655,0.00809849091020254,0.008519285383518493
2.9250000000000003,0.010639760703861271,0.011555637078283047,0.0077525238838667115,0.006945953365013048,0.008376933000835607,0.006945953365013055,0.0077525238838667115
2.95,0.009217631122108525,0.010625573128182417,0.0068531293855681194,0.005663648397360955,0.0064430736810716675,0.005663648397360955,0.0068531293855681125
2.975,0.007618996306566742,0.009524131991215174,0.005823415173264459,0.004255249745628607,0.00433147026730855,0.00425524974562861,0.0058234151732644525
3.0,0.0058428541900717,0.008250179453550903,0.004664988662293243,0.0027245801709080758,0.002044791736241856,0.0027245801709080758,0.004664988662293236
3.0250000000000004,0.003888268569283182,0.006801619264459319,0.0033792210551058335,0.0010762800923652303,-0.0004124530198235938,0.0010762800923652303,0.0033792210551058335
